espessura,peso,densidade,umidade,linha,fornecedor,lote,qualidade
0.87,,1.07,4.488411752092449,A,importado,novo,reprovado
1.07,508.8,1.11,13.577571277831858,B,importado,novo,reprovado
1.44,496.9,1.16,9.58736243716981,B,local,novo,reprovado
1.18,509.7,1.17,13.795835841329648,A,local,reciclado,reprovado
1.02,496.4,1.18,13.668390510054511,A,importado,novo,reprovado
1.03,484.3,1.14,0.9511602372853489,C,local,novo,reprovado
0.89,486.9,0.94,14.32513987392547,B,local,reciclado,reprovado
1.13,512.5,1.12,0.7676693859188349,A,importado,novo,reprovado
1.35,490.3,1.14,13.884283766227302,C,importado,novo,reprovado
1.48,490.6,1.16,8.201001549850739,B,importado,reciclado,reprovado
1.15,517.2,1.18,7.997843743160872,C,importado,reciclado,reprovado
0.92,506.3,1.05,10.698960939297285,C,,reciclado,reprovado
1.28,484.6,1.1,13.18816906142595,A,importado,novo,reprovado
,485.7,0.9,9.255068334918853,A,importado,reciclado,reprovado
0.85,,1.07,6.380997806719822,B,local,novo,reprovado
1.4,503.8,1.04,1.6783401447716022,C,local,reciclado,reprovado
1.38,510.1,1.19,11.838139588423179,C,importado,reciclado,reprovado
1.13,491.0,1.17,1.9244023870620768,A,,novo,aprovado
1.19,514.8,1.14,,B,importado,reciclado,reprovado
1.3,484.4,0.92,7.91887418673039,A,importado,novo,reprovado
1.27,488.3,1.02,5.787538871371027,,importado,reciclado,reprovado
0.81,,1.11,9.194795793800514,C,local,novo,reprovado
,485.4,0.91,11.585341291118144,B,importado,novo,reprovado
0.91,515.5,0.97,14.117094276759316,C,importado,reciclado,reprovado
1.33,508.2,1.17,3.9704532425669985,B,local,novo,reprovado
1.11,482.9,0.94,14.206952403175475,A,importado,reciclado,reprovado
1.18,499.3,0.92,14.414220689816881,A,local,novo,
1.34,500.8,1.07,12.204457717195202,A,local,,reprovado
1.04,517.3,1.18,13.221557624135237,B,importado,reciclado,reprovado
1.32,496.8,1.15,10.386412705757575,C,importado,reciclado,reprovado
1.11,497.9,1.19,0.5864582989692702,A,local,reciclado,aprovado
1.06,484.5,1.13,,B,importado,reciclado,reprovado
1.03,505.6,1.03,11.20806844441158,B,importado,novo,reprovado
1.48,,1.18,14.125547020595025,A,importado,novo,reprovado
1.34,483.1,1.03,8.556777705283105,A,local,reciclado,
0.81,519.9,1.01,11.913010173860751,A,importado,novo,reprovado
1.47,490.8,1.03,10.57558076316741,,,reciclado,reprovado
1.34,485.6,1.14,4.212043328213728,B,importado,novo,reprovado
0.9,508.0,1.18,2.3209211272703785,C,local,reciclado,reprovado
0.85,512.9,1.01,11.263579930168506,C,,,reprovado
1.02,482.6,1.04,3.506525417692611,B,local,novo,reprovado
,484.2,1.17,3.6703733194521138,C,local,novo,reprovado
1.23,483.6,0.91,9.659193580509713,B,local,reciclado,reprovado
0.99,481.9,1.14,11.836026960442927,B,local,novo,reprovado
1.11,506.4,1.04,8.734981392918543,B,local,,reprovado
0.95,503.5,1.01,13.274747308186068,C,local,novo,reprovado
0.84,506.5,1.03,3.1716490387601173,B,local,novo,reprovado
1.16,500.2,1.03,3.786216443111093,B,local,,aprovado
1.04,512.7,1.13,9.554332562361667,A,local,novo,reprovado
1.18,501.9,1.18,12.440522769274455,A,importado,reciclado,reprovado
1.46,516.7,1.05,8.090277025173503,C,local,reciclado,reprovado
,499.4,1.15,0.15572359953819281,A,local,novo,reprovado
0.8,511.6,1.12,10.154146938104116,A,importado,reciclado,reprovado
0.85,496.3,1.0,12.203736495269021,A,importado,reciclado,reprovado
1.12,497.4,1.08,4.148154418439612,B,local,novo,
1.29,514.0,1.1,0.8129734332340116,A,importado,novo,
1.21,484.3,0.91,7.769279671613224,C,importado,novo,reprovado
1.15,502.6,1.02,0.6323283052643014,B,local,novo,aprovado
1.05,509.1,1.2,6.2402511587286655,C,local,reciclado,aprovado
1.02,510.0,1.09,0.2672676670544316,C,local,,aprovado
1.06,503.7,1.0,3.374500843619048,C,local,novo,aprovado
1.23,497.9,0.98,5.832336778303649,C,local,reciclado,aprovado
0.92,490.4,0.96,1.6755883461788679,C,local,novo,reprovado
1.34,516.4,1.02,1.7123385598302487,A,local,novo,reprovado
1.2,494.8,0.96,12.405926104884388,A,local,reciclado,reprovado
0.99,512.0,0.94,0.6213580013609926,C,local,reciclado,reprovado
1.15,481.3,1.01,10.334493730104686,C,importado,novo,reprovado
1.47,489.3,1.08,12.217230740240273,A,importado,reciclado,reprovado
0.81,493.8,0.94,1.9608353120345838,C,importado,novo,reprovado
0.94,506.9,0.91,2.9305610177020895,A,importado,reciclado,
1.11,492.8,,9.622399523925441,C,importado,reciclado,
1.25,481.7,0.98,4.734699191148284,C,local,novo,reprovado
0.95,487.0,0.96,7.146346068523504,B,local,novo,reprovado
1.45,490.4,1.06,12.54004062419598,C,local,novo,reprovado
1.25,487.0,1.04,2.0697475707643473,B,local,novo,reprovado
1.41,488.1,1.0,9.29478782857059,C,importado,reciclado,reprovado
1.03,510.8,1.15,14.135965834212001,B,local,novo,reprovado
1.38,496.5,1.05,0.861999445307558,A,local,novo,reprovado
1.06,496.2,0.93,0.9001014747714181,C,importado,novo,aprovado
0.98,,0.99,8.321135589264557,A,local,reciclado,reprovado
1.44,497.9,1.19,14.401136941414938,B,importado,novo,reprovado
0.86,517.1,1.19,3.307104635501832,B,local,reciclado,reprovado
1.46,,0.98,4.961879545743008,B,importado,novo,reprovado
1.12,496.0,0.95,1.479719618218105,B,importado,reciclado,aprovado
1.49,495.9,1.05,5.433708456552747,A,local,reciclado,reprovado
,501.8,1.04,0.6649872003011992,B,local,reciclado,aprovado
1.33,503.4,1.02,5.836409966171148,C,local,reciclado,reprovado
0.8,,1.06,8.332316624130463,B,local,reciclado,reprovado
1.15,511.7,0.97,14.62507240026392,A,local,,reprovado
1.32,499.9,0.93,12.27581969462925,A,importado,reciclado,reprovado
1.35,480.3,1.07,12.330981161630238,C,importado,reciclado,reprovado
0.91,503.7,1.18,3.422164868582957,A,importado,reciclado,reprovado
1.09,511.9,0.94,1.3085205325326765,B,importado,novo,reprovado
1.09,490.0,1.11,9.046120561563654,C,local,novo,reprovado
0.87,481.5,1.03,,C,,,reprovado
1.11,512.3,0.99,7.74755814866447,A,local,novo,reprovado
1.36,519.1,,1.6351197930106476,C,importado,novo,reprovado
,483.1,1.04,7.408273413949887,B,local,novo,reprovado
1.1,517.5,1.07,2.255336108993525,B,local,novo,reprovado
1.47,494.4,1.03,6.331718905677573,A,local,novo,reprovado
0.82,517.7,0.92,0.9324394896722404,B,local,novo,reprovado
1.21,506.0,1.08,,B,importado,novo,reprovado
1.32,515.6,1.03,0.1977012945887674,A,importado,reciclado,reprovado
1.33,511.4,0.93,14.089847091679946,,importado,novo,reprovado
1.3,481.1,1.08,12.943377340934084,A,,reciclado,reprovado
1.31,482.6,0.9,11.289121088539545,A,importado,reciclado,reprovado
0.84,501.0,,14.73825873428587,A,importado,novo,reprovado
,485.2,1.13,0.8072999569137468,C,local,novo,reprovado
1.35,,0.91,9.6239565907852,B,importado,novo,reprovado
0.87,518.2,1.09,12.739531357075741,B,local,novo,reprovado
0.81,491.8,1.18,1.8992564479615404,B,local,reciclado,reprovado
1.37,499.6,,8.77162467999791,A,local,novo,reprovado
1.3,495.4,1.03,5.908828630420077,A,importado,reciclado,aprovado
1.09,505.2,1.07,6.5374067002064,B,local,novo,aprovado
1.46,487.8,1.04,13.687861280778394,B,importado,novo,reprovado
1.34,490.4,1.09,8.079771754120985,B,importado,reciclado,reprovado
1.48,514.4,1.02,1.3989306726948625,B,importado,reciclado,reprovado
1.45,512.5,0.94,14.058242607666433,C,local,,reprovado
1.14,511.6,0.93,2.778167558443432,A,local,novo,reprovado
1.33,510.8,1.12,13.389552247080958,C,importado,reciclado,reprovado
1.27,498.4,0.97,14.5638108162804,B,importado,reciclado,reprovado
1.37,509.2,1.15,13.167561947410434,A,,reciclado,reprovado
1.35,495.5,1.12,10.157006667133807,C,importado,novo,reprovado
0.91,484.0,0.91,11.153277297346355,C,importado,reciclado,reprovado
0.96,495.7,0.96,10.498008656471328,A,local,reciclado,reprovado
0.99,486.3,,6.90786581782594,C,importado,novo,reprovado
1.37,495.6,1.08,4.116295781177807,B,importado,,reprovado
1.37,491.9,1.14,4.2750409492654455,C,importado,reciclado,reprovado
1.15,504.0,0.92,10.967517919292064,C,importado,reciclado,reprovado
1.21,494.5,0.97,9.390546724808253,B,importado,reciclado,reprovado
1.38,508.2,1.01,8.773260509537202,B,importado,novo,reprovado
1.02,500.5,0.96,9.789132568865965,C,importado,reciclado,reprovado
0.84,516.8,1.06,11.621793531463332,B,local,novo,
1.14,483.6,1.04,11.225113719683003,A,local,reciclado,reprovado
1.44,507.5,0.99,1.5809460868860277,A,importado,novo,reprovado
1.35,,1.06,5.445525745600716,B,local,novo,reprovado
1.06,518.0,1.01,3.9595070517612854,B,importado,novo,reprovado
0.85,494.9,1.0,8.073579933362177,A,importado,novo,reprovado
1.25,492.2,0.98,0.9212412355736821,A,local,reciclado,aprovado
1.38,486.9,1.06,11.436960712387604,C,local,novo,reprovado
1.27,490.6,1.03,1.5979100064408573,C,importado,novo,aprovado
1.1,500.1,0.96,4.071030388659269,C,local,reciclado,aprovado
0.89,513.5,0.9,11.741122578315714,C,local,novo,reprovado
1.44,491.4,0.95,0.7733997437806267,A,local,reciclado,reprovado
0.99,486.3,0.91,9.903016028339874,,importado,novo,reprovado
0.96,490.9,1.03,13.867174076915795,,importado,reciclado,reprovado
1.37,484.0,0.97,9.264567257816818,B,local,reciclado,reprovado
1.49,517.1,1.03,10.689862311021162,A,importado,novo,
1.26,514.9,1.0,11.884003087838204,B,importado,reciclado,reprovado
1.24,492.3,1.06,3.333694832792272,B,local,novo,aprovado
1.02,489.9,1.12,8.714458770188449,,importado,novo,reprovado
0.81,516.2,1.04,4.635850740452837,C,local,novo,reprovado
0.93,480.1,0.92,3.7424306883795793,B,local,reciclado,reprovado
1.21,504.0,0.91,2.8868462262833168,A,local,reciclado,aprovado
0.91,516.6,0.96,8.781459229540662,A,importado,novo,reprovado
1.42,500.3,1.03,11.917978898307076,A,importado,reciclado,reprovado
0.93,480.1,0.91,13.138335962826684,,importado,reciclado,reprovado
1.17,488.8,1.0,6.4287891921278915,A,importado,novo,reprovado
1.16,516.9,1.17,5.593485002969083,A,importado,reciclado,reprovado
1.22,480.7,0.93,10.309603531508865,B,local,reciclado,reprovado
1.03,495.8,,11.70538862778526,A,local,novo,reprovado
1.41,511.6,1.16,3.799790050085949,B,importado,novo,reprovado
,513.5,1.15,4.4593632631655495,C,,reciclado,reprovado
1.29,499.1,1.16,8.000899787264256,A,importado,reciclado,reprovado
1.25,489.3,0.92,6.6657853175991555,C,local,reciclado,reprovado
0.88,504.0,0.95,10.586815995895833,C,importado,novo,reprovado
1.24,490.6,0.94,7.567274864816189,C,importado,reciclado,aprovado
1.19,490.2,0.93,1.6739865858387404,A,importado,reciclado,aprovado
1.43,512.3,1.0,2.489297921821568,B,importado,reciclado,reprovado
1.42,486.2,1.15,13.528632657309595,C,local,novo,reprovado
0.91,480.2,0.98,3.410975472448934,A,importado,reciclado,reprovado
0.86,493.5,0.97,0.7512913712685032,B,importado,reciclado,reprovado
1.01,499.6,1.1,10.971818374308379,C,importado,novo,reprovado
1.49,508.2,0.93,10.260167157669612,A,local,reciclado,
0.82,511.2,,9.001140279822298,B,importado,reciclado,reprovado
1.27,506.5,0.99,7.533842316971409,B,local,novo,aprovado
1.23,505.1,1.15,14.543705310702293,A,importado,reciclado,reprovado
1.25,506.6,1.05,1.7974844387768,C,importado,reciclado,aprovado
0.95,,1.09,7.652441738672251,A,importado,novo,reprovado
0.96,,0.94,8.460674152050654,C,importado,reciclado,reprovado
1.1,504.7,1.18,0.33739377571259,A,importado,reciclado,aprovado
0.87,482.6,1.0,6.179886372065077,B,local,reciclado,reprovado
0.85,491.8,1.11,11.742031880829616,B,importado,reciclado,reprovado
,496.3,1.19,,B,local,reciclado,reprovado
1.2,501.3,1.05,13.129176746863752,B,importado,reciclado,reprovado
1.08,499.5,1.05,9.671983978341888,B,importado,novo,reprovado
1.01,508.7,0.94,11.491280460748111,A,importado,novo,reprovado
1.02,498.9,1.02,12.067202027885399,A,importado,novo,reprovado
0.95,516.2,1.16,10.342503591602,A,importado,novo,reprovado
,495.2,0.94,11.240709900395267,C,importado,,reprovado
0.94,501.0,1.18,10.429658097318715,C,local,novo,reprovado
1.29,480.1,1.1,8.256956226804348,B,importado,novo,reprovado
0.89,492.4,1.03,8.497994483931494,B,importado,novo,reprovado
1.46,514.7,,2.8482717395520196,B,local,,reprovado
0.86,493.3,0.95,12.411588500685854,C,importado,reciclado,reprovado
1.46,490.1,0.97,4.682059706578482,C,importado,reciclado,reprovado
1.38,501.7,0.99,8.036053236979967,A,,reciclado,reprovado
1.28,483.1,1.02,3.7431833691377396,C,local,novo,reprovado
1.44,501.3,1.17,10.437974686593412,B,local,novo,reprovado
0.9,492.1,1.01,14.627534282759035,A,importado,novo,reprovado
0.92,495.3,1.06,12.02910351971111,C,importado,novo,reprovado
,511.7,0.95,9.286432228313505,A,importado,reciclado,reprovado
0.97,506.5,,8.512598006131514,C,importado,reciclado,reprovado
1.02,497.8,1.07,7.346568860293935,,local,novo,aprovado
1.2,503.1,1.03,3.074571476454003,C,importado,reciclado,aprovado
0.82,510.7,1.18,5.220150777663682,B,local,novo,reprovado
1.07,509.8,1.17,6.0959111125695085,C,local,novo,aprovado
0.97,487.4,1.1,14.168536122615155,B,local,reciclado,reprovado
1.22,492.0,1.18,6.383742810540186,A,local,reciclado,aprovado
1.49,493.9,1.07,8.79285532193889,C,local,novo,reprovado
1.16,487.5,1.15,13.836368109176382,B,importado,novo,reprovado
1.1,480.5,1.02,7.776396117170147,B,importado,reciclado,reprovado
1.06,487.0,0.93,3.771746697960516,A,importado,reciclado,reprovado
1.35,512.3,1.2,5.7150915989711635,A,importado,novo,reprovado
0.85,501.8,0.95,5.633088006791743,A,local,novo,
1.47,493.7,0.98,10.720763470532319,C,importado,reciclado,reprovado
1.09,504.3,0.95,4.441810956900388,C,importado,reciclado,aprovado
1.02,509.6,1.0,10.954328666405914,A,importado,novo,reprovado
1.48,494.2,0.99,13.338640678300886,C,local,reciclado,reprovado
1.46,498.6,1.08,5.041095175705678,B,importado,novo,reprovado
1.25,482.6,1.2,2.030116503686536,B,importado,reciclado,reprovado
0.81,503.9,0.92,9.57831526452964,C,importado,novo,reprovado
,494.3,1.13,5.412817012859913,C,local,reciclado,reprovado
1.03,497.3,0.94,8.009792507168669,B,local,novo,reprovado
1.07,496.9,0.91,9.51248447759416,B,importado,reciclado,reprovado
0.91,505.3,1.09,6.116144160913672,C,importado,novo,reprovado
1.17,502.9,1.16,13.87041677685112,C,importado,reciclado,reprovado
1.32,496.9,0.95,5.994219812557082,A,local,reciclado,reprovado
0.99,480.7,1.0,4.610614908600433,A,importado,reciclado,reprovado
1.46,504.8,0.95,13.285128316483313,C,local,reciclado,reprovado
0.94,515.2,1.17,2.044525851387146,B,importado,reciclado,reprovado
0.85,510.8,0.98,1.8631339317838513,C,local,reciclado,
1.25,519.3,1.03,14.035473114084388,B,,novo,reprovado
1.39,485.6,1.17,3.134526211641735,C,local,novo,reprovado
1.47,488.9,1.07,2.2265610543696077,C,local,novo,reprovado
1.34,501.6,1.18,8.027524560293228,,local,reciclado,reprovado
0.94,489.4,1.18,0.701826993154463,B,importado,novo,reprovado
1.48,481.4,1.04,9.300225010913401,C,local,reciclado,reprovado
1.44,496.1,1.07,6.7939619750859706,B,importado,novo,reprovado
0.91,491.5,0.97,9.606179466221002,B,importado,novo,reprovado
1.19,490.6,1.2,4.259053552991257,C,local,reciclado,aprovado
1.19,518.1,0.98,13.582083215234125,A,local,reciclado,reprovado
1.11,489.5,,4.058710690880185,A,local,reciclado,reprovado
1.49,485.2,0.99,9.563470283142909,B,importado,reciclado,reprovado
0.84,485.0,0.99,14.17637775941437,C,importado,reciclado,reprovado
1.24,512.3,0.93,6.012139325119239,B,local,reciclado,reprovado
0.94,508.6,1.07,2.4213979243926746,C,importado,novo,reprovado
1.17,485.2,0.97,1.0257371386775067,A,local,reciclado,reprovado
1.35,488.8,0.94,14.445269952114094,A,,reciclado,reprovado
0.97,509.9,,11.455522289909084,A,importado,novo,reprovado
1.08,491.0,,13.784280901061763,B,local,novo,
,519.3,1.05,10.482495797397172,A,local,novo,reprovado
1.33,501.6,1.02,5.1367275628403535,A,importado,novo,reprovado
1.2,487.7,0.92,,B,importado,novo,reprovado
0.96,514.4,1.06,13.93960288912501,C,local,novo,
1.1,492.8,1.14,7.3442856619641175,A,importado,novo,aprovado
1.34,491.6,1.07,5.947634944164342,C,local,novo,reprovado
1.37,493.1,1.19,8.666880918586848,C,importado,novo,reprovado
0.97,510.7,0.93,1.5983898214660357,B,local,,reprovado
1.26,486.9,1.15,4.638057290617259,C,importado,reciclado,reprovado
0.87,495.3,1.05,9.568141606472505,C,importado,reciclado,
0.82,481.2,1.06,1.5018441953573287,B,importado,reciclado,reprovado
1.18,513.1,1.06,2.028641384473259,C,local,novo,reprovado
0.96,493.6,1.0,7.658817961365832,A,importado,novo,reprovado
0.86,489.9,1.0,9.351856869016366,B,local,novo,reprovado
1.31,503.2,1.09,2.8050255869068605,B,local,novo,reprovado
1.15,508.2,0.91,0.4962695168323772,B,local,reciclado,aprovado
1.36,512.5,1.08,14.375503391501342,A,local,novo,
1.26,493.9,,0.41238986823835255,C,importado,reciclado,aprovado
1.31,512.5,1.01,0.03078062280961802,C,local,reciclado,reprovado
1.02,498.6,0.97,4.850108532422996,C,importado,reciclado,aprovado
0.98,484.0,0.96,,A,local,reciclado,
1.22,513.9,0.92,8.603795431473163,C,importado,reciclado,reprovado
0.94,501.9,0.93,13.413133152616203,C,importado,reciclado,reprovado
1.37,504.1,0.95,7.216615086589719,A,local,reciclado,reprovado
1.17,517.5,0.91,11.599518132254559,A,importado,novo,reprovado
0.96,502.4,0.98,13.63840557718425,C,local,novo,reprovado
1.24,480.2,0.99,2.8409948040931123,A,importado,reciclado,reprovado
1.46,514.8,1.2,7.324663291830088,A,local,novo,
0.86,491.4,1.2,9.631049993980941,A,local,novo,
0.88,500.1,0.96,4.978248568805169,B,,reciclado,reprovado
1.39,488.2,0.96,11.096281664826378,B,importado,reciclado,reprovado
0.88,491.9,1.05,10.579724628327375,C,importado,reciclado,reprovado
0.83,507.5,0.94,6.3164142622712935,C,importado,reciclado,reprovado
1.04,,1.05,1.3193063013669215,A,importado,reciclado,aprovado
1.13,505.1,1.02,0.17353175223869421,C,local,novo,aprovado
1.2,512.9,1.0,5.5402434324127565,B,importado,reciclado,reprovado
1.16,493.6,1.15,1.231032676763974,C,importado,novo,aprovado
1.44,502.7,1.15,11.724366648123915,C,importado,novo,reprovado
1.34,511.1,1.2,5.014886749034711,B,importado,reciclado,reprovado
1.49,508.6,0.97,,B,local,reciclado,reprovado
1.13,501.6,1.17,5.195684809506876,A,importado,novo,aprovado
0.86,495.3,1.06,11.939076252420271,A,importado,novo,reprovado
1.47,496.3,1.08,13.326187449296718,A,local,,reprovado
0.8,497.3,1.17,12.562712238941101,C,importado,reciclado,reprovado
1.34,494.0,1.18,7.2671034596977995,C,local,reciclado,reprovado
0.82,508.0,1.12,1.2592741630473077,,importado,novo,reprovado
1.33,,1.0,5.575666586901442,B,importado,reciclado,reprovado
1.46,518.7,1.05,6.36683992057624,C,importado,reciclado,reprovado
1.07,511.2,1.08,14.40381016285312,B,local,novo,reprovado
,491.9,1.15,8.482459578106434,C,local,novo,reprovado
0.96,,1.1,9.612693493446624,C,local,reciclado,reprovado
1.14,508.5,1.01,11.730053715031108,B,importado,reciclado,reprovado
,,1.03,8.52303700815508,B,importado,reciclado,reprovado
1.27,,,8.977269137741429,B,local,reciclado,reprovado
1.06,490.1,1.18,3.6799169600190798,A,importado,novo,aprovado
1.03,483.3,0.93,0.882999113419134,A,local,novo,reprovado
1.12,516.6,1.07,10.820788186635534,C,local,reciclado,reprovado
1.18,490.3,1.16,12.73027046031639,C,importado,novo,reprovado
0.9,,1.03,6.180002749876557,C,importado,,reprovado
1.3,482.4,1.14,8.233716798723146,A,local,novo,reprovado
1.42,510.4,1.14,4.609278410035555,C,local,reciclado,reprovado
